title,artists,rank,year,first_artist,title_fmtd,lyrics
Changes,XXXTENTACION,94,2018,xxxtentacion,changes,"Mmm, baby, I don't understand this @ You're changing, I can't stand it @ My heart can't take this damage @ And the way I feel, can't stand it @ Mmm, baby, I don't understand this @ You're changing, I can't stand it @ My heart can't take this damage @ And the way I feel, can't stand it @ Mmm, baby, I don't understand it @ Girl, you're makin' it hard for me @ Girl, you're makin' it hard for me @ Girl, you're makin' it hard for me @ Mmm, ohh @ Girl, you're makin' it hard for me @ Girl, you're makin' it hard for me @ Girl, you're makin' it hard for me @ Mmm, baby, I don't understand this @ You're changing, I can't stand it @ My heart can't take this damage @ And the way I feel, can't stand it @ Mmm, baby, I don't understand this @ You're changing, I can't stand it @ My heart can't take this damage @ And the way I feel, can't stand it @ Mmm, baby, I don't understand this @ You're changing, I can't stand it @ My heart can't take this damage @ And the way I feel, can't stand it @ Mmm, baby, I don't understand it"
Mercy,Brett Young,95,2018,brett young,mercy,"Mercy @ Why you gotta show up lookin' so good just to hurt me? @ Why you wanna stop this whole damn world from turning? @ Mercy @ Why you hanging on so tight if this ain't working? @ Why you wanna stop this flame if it's still burning? @ Cause it's still burning @ So if you're gonna break my heart, just break it @ And if you're gonna take your shot, then take it @ Take it @ If you made up your mind, then make it @ But make this fast @ If you ever loved me @ Have mercy @ If you go out tonight and get drunk and lonely @ Wind up home alone please don't call me @ And say you miss me, no @ So if you're gonna break my heart, just break it @ And if you're gonna take your shot, then take it @ Take it @ If you made up your mind, then make it @ But make this fast @ If you ever loved me @ Have mercy @ Woah @ Oh have mercy @ If you're gonna break my heart, just break it @ If you're gonna take your shot, take it @ Take it @ Oh if you're gonna break my heart, just break it @ And if you're gonna take your shot, then take it @ Take it @ If you made up your mind, then make it @ But make this fast @ If you ever loved me @ Mmmh if you ever loved me @ Have mercy @ Oh have mercy @ Oh have mercy @ Have mercy"
One Number Away,Luke Combs,96,2018,luke combs,one number away,"Are you sitting at home, all alone, trying to fall asleep? @ Are you staring a hole through your phone, praying that it rings? @ Are you watching a movie that you've seen a thousand times? @ Or maybe playing some Mayer, getting lost in your favorite lines @ Well, if you're anything like me @ You just might be doing whatever it takes @ To drown out the noise @ But I just wanna hear your voice @ I’m one number away @ From calling to you @ I said I was through @ But I'm dying, inside @ Got my head in a mess @ Girl, I confess @ I lied when I said @ ""I'm leaving and not coming back"" @ Might be the whiskey or the midnight rain @ But everywhere I go, I see your face @ In my brain, dial it up, everything I wanna say @ But I'm still one number away @ Are you stuck at a red light with a Marlboro Light on your lips? @ Does the smoke in your mirror get clearer without my kiss? @ Are you changing the station replacing our favorite songs? @ Well maybe it's a mistake, hit the brakes on the moving on @ Well, if you're anything like me @ You just might be doing whatever it takes @ To outrun the storm @ But I'm almost out that door @ And I'm one number away @ From calling to you @ I said I was through @ But I'm dying, inside @ Got my head in a mess @ Girl, I confess @ I lied when I said @ ""I'm leaving and not coming back"" @ Might be the whiskey or the midnight rain @ But everywhere I go, I see your face @ In my brain, dial it up, everything I wanna say @ But I'm still one number away @ Will you pick up when I call? @ Or just forget we loved at all @ We don't have to talk @ I just wanna hear your voice @ And I'm one number away @ From calling you @ I said I was through @ But I'm dying, inside @ Got my head in a mess @ Girl, I confess @ I lied when I said @ ""I'm leaving and not coming back"" @ Might be the whiskey or the midnight rain @ But everywhere I go, I see your face @ In my brain, dial it up, everything I wanna say @ But I'm still one number away @ Away, away @ Yeah I'm still one number away"
Powerglide,Rae Sremmurd & Juicy J,97,2018,rae sremmurd and juicy j,powerglide,URL-ERROR-LYRICS-NOT-FOUND
IDGAF,Dua Lipa,98,2018,dua lipa,idgaf,"You call me all friendly @ Tellin' me how much you miss me @ That's funny, I guess you've heard my songs @ Well, I'm too busy for your business @ Go find a girl who wants to listen @ 'Cause if you think I was born yesterday, you have got me wrong @ So I cut you off @ I don't need your love @ 'Cause I already cried enough @ I've been done @ I've been movin' on since we said goodbye @ I cut you off @ I don't need your love @ So you can try all you want @ Your time is up, I'll tell you why @ You say you're sorry, but it's too late now @ So save it, get gone, shut up @ 'Cause if you think I care about you now @ Well, boy, I don't give a fuck @ I remember that weekend @ When my best friend caught you creepin' @ You blamed it all on the alcohol @ So, I made my decision @ 'Cause  @ you made your bed, sleep in it @ Play the victim and switch your position @ I'm through, I'm done @ So I cut you off @ I don't need your love @ 'Cause I already cried enough @ I've been done @ I've been movin' on since we said goodbye @ I cut you off @ I don't need your love @ So you can try all you want @ Your time is up, I'll tell you why @ You say you're sorry, but it's too late now @ So save it, get gone, shut up @ ' @ Cause if you think I care about you now @ Well, boy, I don't give a fuck @ I see you tryna get to me @ I see you beggin' on your knees @ Boy, I don't give a fuck @ So stop tryna get to me @ Tch, get up off your knees @ 'Cause, boy, I don't give a fuck @ About you @ No, I don't give a damn @ You keep reminiscin' on when you were my man @ But I'm over you @ Now you're all in the past @ You talk all that sweet talk, but I ain't comin' back @ Cut you off @ I don't need your love @ So you can try all you want @ Your time is up, I'll tell you why @ I'll tell you why @ You say you're sorry, but it's too late now @ So save it, get gone, shut up @ 'Cause if you think I care about you now @ Well, boy, I don't give a fuck @ I see you tryna get to me @ I see you beggin' on your knees @ Boy, I don't give a fuck @ So stop tryna get to me  @ Tch, get up off your knees @ 'Cause, boy, I don't give a fuck"
Mi Gente,J Balvin & Willy William Featuring Beyonce,99,2018,j balvin and willy william,mi gente,"Si el ritmo te lleva a mover la cabeza @ Ya empezamos como es @ Mi música no discrimina a nadie @ Así que vamos a romper @ Toda mi gente se mueve @ Mira el ritmo cómo los tiene @ Hago música que entretiene @ El mundo nos quiere, nos quiere @ Me quiere a mí @ Toda mi gente se mueve @ Mira el ritmo cómo los tiene @ Hago música que entretiene @ Mi música los tiene fuerte bailando @ Y se baila así @ Tamo' rompiendo la discoteca @ La fiesta no para, apenas comienza @ C'est comme-ci, c'est comme ça @ Ma chèrie, la-la-la-la-la @ Francia, Colombia @ Me gusta  @ J Balvin, Willy William @ Le gusta  @ Los DJ's no mienten, le gusta a mi gente @ Y eso se fue mundial  @ No le bajamos, más nunca paramos @ Es otro palo y ¡blam! @ [Pre-Coro: J Balvin,  @ Willy William @ ] @ ¿Y dónde está mi gente? @ Mais fais bouger la tête @ ¿Y dónde está mi gente? @ Say yeah, yeah, yeah @ Un, dos, tres, ¡leggo! @ Esquina a esquina, de ahí no' vamo' @ El mundo es grande, pero lo tengo en mi' manos @ Estoy muy duro, sí, ok, ahí vamos @ Y con el tiempo nos seguimos elevando @ Que seguimos rompiendo aquí @ Esta fiesta no tiene fin @ Botellas para arriba, sí @ Los tengo bailando, rompiendo y yo sigo aquí @ Que seguimos rompiendo aquí @ Esta fiesta no tiene fin @ Botellas para arriba, sí @ Los tengo bailando, rompiendo @ [Pre-Coro: J Balvin,  @ Willy William @ ] @ ¿Y dónde está mi gente? @ Mais fais bouger la tête @ ¿Y dónde está mi gente? @ Say yeah, yeah, yeah @ Un, dos, tres, ¡leggo! @ Worldwide @ Willy William @ J Balvin, man @ Uh-huh @ Uh-huh @ Uh-huh @ Uh-huh"
Believer ,Imagine Dragons,100,2018,imagine dragons,believer ,"First things first @ I'ma say all the words inside my head @ I'm fired up and tired of @ The way that things have been, oh-ooh @ The way that things have been, oh-ooh @ Second thing second @ Don't you tell me what you think that I could be @ I'm the one at the sail @ I'm the master of my sea, oh-ooh @ The master of my sea, oh-ooh @ I was broken from a young age @ Taking my sulkin' to the masses @ Writing my poems for the few @ That look at me, took to me, shook at me, feelin' me @ Singing from heartache from the pain @ Taking my message from the veins @ Speaking my lesson from the brain @ Seeing the beauty through the... @ Pain! You made me a, you made me a @ Believer, believer @ Pain! You break me down and build me up @ Believer, believer @ Pain! Oh, let the bullets fly, oh, let them rain @ My life, my love, my drive, it came from… @ Pain! You made me a, you made me a @ Believer, believer @ Third things third @ Send a prayer to the ones up above @ All the hate that you've heard @ Has turned your spirit to a dove, oh-ooh @ Your spirit up above, oh-ooh @ I was chokin' in the crowd @ Building my rain up in the cloud @ Falling like ashes to the ground @ Hoping my feelings, they would drown @ But they never did, ever lived, ebbin' and flowin' @ Inhibited, limited 'til it broke open and rained down @ It rained down, like… @ Pain! You made me a, you made me a @ Believer, believer @ Pain! You break me down and build me up @ Believer, believer @ Pain! Oh, let the bullets fly, oh, let them rain @ My life, my love, my drive, it came from… @ Pain! You made me a, you made me a @ Believer, believer @ Last things last @ By the grace of the fire and the flames @ You're the face of the future @ The blood in my veins, oh-ooh @ The blood in my veins, oh-ooh @ But they never did, ever lived, ebbin' and flowin' @ Inhibited, limited 'til it broke open and rained down @ It rained down, like… @ Pain! You made me a, you made me a @ Believer, believer @ Pain! You break me down and build me up @ Believer, believer @ Pain! Oh, let the bullets fly, oh, let them rain @ My life, my love, my drive, it came from… @ Pain! You made me a, you made me a @ Believer, believer"
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,2019,lil nas x,old town road,"Yeah, I'm gonna take my horse to the old town road @ I'm gonna ride 'til I can't no more @ I'm gonna take my horse to the old town road @ I'm gonna ride 'til I can't no more @ ( @ Kio, Kio @ ) @ I got the horses in the back @ Horse tack is attached @ Hat is matte black @ Got the boots that's black to match @ Ridin' on a horse, ha @ You can whip your Porsche @ I been in the valley @ You ain't been up off that porch, now @ Can't nobody tell me nothin' @ You can't tell me nothin' @ Can't nobody tell me nothin' @ You can't tell me nothin' @ Ridin' on a tractor @ Lean all in my bladder @ Cheated on my baby @ You can go and ask her @ My life is a movie @ Bull ridin' and boobies @ Cowboy hat from Gucci @ Wrangler on my booty @ Can't nobody tell me nothin' @ You can't tell me nothin' @ Can't nobody tell me nothin' @ You can't tell me nothin' @ Yeah, I'm gonna take my horse to the old town road @ I'm gonna ride 'til I can't no more @ I'm gonna take my horse to the old town road @ I'm gonna ride 'til I can't no more @ I got the hor-"
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2,2019,post malone and swae lee,sunflower spider-man: into the spider-verse,URL-ERROR-LYRICS-NOT-FOUND
Without Me,Halsey,3,2019,halsey,without me,"Found you when your heart was broke @ I filled your cup until it overflowed @ Took it so far to keep you close  @ I was afraid to leave you on your own  @ I said I'd catch you if you fall  @ And if they laugh, then fuck 'em all  @ And then I got you off your knees @ Put you right back on your feet @ Just so you could take advantage of me @ Tell me, how's it feel sittin' up there? @ Feelin' so high, but too far away to hold me @ You know I'm the one who put you up there @ Name in the sky, does it ever get lonely? @ Thinkin' you could live without me @ Thinkin' you could live without me @ Baby, I'm the one who put you up there @ I don't know why  @ Thinkin' you could live without me @ Live without me @ Baby, I'm the one who put you up there @ I don't know why  @ Gave love 'bout a hundred tries  @ Just runnin' from the demons in your mind @ Then I took yours and made 'em mine  @ I didn't notice 'cause my love was blind @ Said I'd catch you if you fall  @ And if they laugh, then fuck 'em all  @ And then I got you off your knees @ Put you right back on your feet @ Just so you could take advantage of me @ Tell me, how's it feel sittin' up there? @ Feelin' so high, but too far away to hold me @ You know I'm the one who put you up there @ Name in the sky, does it ever get lonely? @ Thinkin' you could live without me @ Thinkin' you could live without me @ Baby, I'm the one who put you up there @ I don't know why  @ Thinkin' you could live without me @ Live without me @ Baby, I'm the one who put you up there @ I don't know why, yeah @ You don't have to say just what you did  @ I already know  @ I had to go and find out from them  @ So tell me, how's it feel?  @ Tell me, how's it feel sittin' up there? @ Feelin' so high, but too far away to hold me @ You know I'm the one who put you up there @ Name in the sky, does it ever get lonely? @ Thinkin' you could live without me @ Thinkin' you could live without me @ Baby, I'm the one who put you up there @ I don't know why "
